id,district,city,floor,price,rooms,sq,year,price_per_sq,update_date,offer_url
400,Dębniki,Kraków,3,1160627.40,4,84.00,2003,13816.99,2020-01-01,
401,Podgórze Duchackie,Kraków,7,608639.40,2,46.70,2021,13032.96,2020-01-01,
402,Krowodrza,Kraków,3,1685016.00,4,124.00,1930,13588.84,2020-01-01,
403,Bronowice,Kraków,1,872263.06,2,49.22,2022,17721.72,2020-01-01,
404,Mistrzejowice,Kraków,2,870107.40,3,76.75,1997,11336.90,2020-01-01,
405,Podgórze,Kraków,3,1305887.40,3,72.00,2010,18137.32,2020-01-01,
406,Prądnik Biały,Kraków,8,472095.00,2,36.90,1970,12793.91,2020-01-01,
407,Krowodrza,Kraków,1,1043322.69,3,72.55,2019,14380.74,2020-01-01,
408,Podgórze,Kraków,1,434327.40,2,38.00,2020,11429.67,2020-01-01,
409,Prądnik Biały,Kraków,2,1089450.00,3,79.00,2015,13790.51,2020-01-01,
410,Podgórze,Kraków,0,686541.61,3,49.49,2021,13872.33,2020-01-01,
411,Nowa Huta,Kraków,1,466127.72,2,31.46,2022,14816.52,2020-01-01,
412,Prądnik Biały,Kraków,5,550535.40,2,38.20,2005,14411.93,2020-01-01,
413,Stare Miasto,Kraków,2,1002148.74,3,68.98,1920,14528.11,2020-01-01,
414,Dębniki,Kraków,0,681269.40,2,45.14,2021,15092.37,2020-01-01,
415,Bronowice,Kraków,2,638754.70,3,46.78,2020,13654.44,2020-01-01,
416,Dębniki,Kraków,1,894766.74,3,63.46,2021,14099.69,2020-01-01,
417,Podgórze,Kraków,4,826529.40,3,53.98,2021,15311.77,2020-01-01,
418,Bronowice,Kraków,1,1089450.00,3,70.00,2000,15563.58,2020-01-01,
419,Podgórze Duchackie,Kraków,3,652217.40,3,53.00,1980,12305.99,2020-01-01,
420,Prądnik Biały,Kraków,1,1124893.44,4,100.58,2015,11184.06,2020-01-01,
421,Nowa Huta,Kraków,3,1200800.51,3,75.84,2022,15833.34,2020-01-01,
422,Bronowice,Kraków,4,929460.64,2,49.22,2022,18883.80,2020-01-01,
423,Nowa Huta,Kraków,3,571028.68,2,41.82,2022,13654.44,2020-01-01,
424,Mistrzejowice,Kraków,3,722552.29,4,65.43,2022,11043.13,2020-01-01,
425,Dębniki,Kraków,2,669144.55,3,47.49,2022,14090.22,2020-01-01,
426,Grzegórzki,Kraków,2,951453.00,3,53.00,2014,17951.94,2020-01-01,
427,Stare Miasto,Kraków,1,857034.00,2,47.00,1935,18234.76,2020-01-01,
428,Grzegórzki,Kraków,0,1379970.00,4,84.40,2001,16350.35,2020-01-01,
429,Dębniki,Kraków,4,1111239.00,3,85.70,2007,12966.62,2020-01-01,
430,Bieżanów-Prokocim,Kraków,1,753899.40,3,60.50,2020,12461.14,2020-01-01,
431,Dębniki,Kraków,2,835245.00,2,50.00,2016,16704.90,2020-01-01,
432,Stare Miasto,Kraków,6,710321.40,3,61.50,1975,11549.94,2020-01-01,
433,Prądnik Czerwony,Kraków,0,759709.80,3,58.88,2014,12902.68,2020-01-01,
434,Stare Miasto,Kraków,2,1586239.20,3,91.00,1916,17431.20,2020-01-01,
435,Podgórze,Kraków,0,857034.00,3,52.00,2017,16481.42,2020-01-01,
436,Swoszowice,Kraków,4,602829.00,2,53.00,2006,11374.13,2020-01-01,
437,Dębniki,Kraków,4,697248.00,3,48.40,1970,14405.96,2020-01-01,
438,Dębniki,Kraków,0,550535.40,2,37.62,2021,14634.12,2020-01-01,
439,Nowa Huta,Kraków,4,809063.34,2,49.73,2020,16269.12,2020-01-01,
440,Dębniki,Kraków,4,710321.40,2,45.14,2021,15735.96,2020-01-01,
441,Prądnik Biały,Kraków,3,522936.00,2,37.10,1970,14095.30,2020-01-01,
442,Nowa Huta,Kraków,5,990217.08,3,57.77,2022,17140.68,2020-01-01,
443,Krowodrza,Kraków,4,443043.00,1,28.08,1974,15777.88,2020-01-01,
444,Prądnik Biały,Kraków,7,566514.00,2,37.00,2006,15311.19,2020-01-01,
445,Krowodrza,Kraków,1,794572.20,3,64.50,2000,12318.95,2020-01-01,
446,Nowa Huta,Kraków,2,1138289.32,3,70.28,2022,16196.49,2020-01-01,
